team_season_id,club_id,season_id,competition_scope,matches_played,team_goals,team_goals_conceded,points,final_table_rank,wins,draws,losses
arminia-2021-2022,arminia,2021-2022,league_only,38,27,53,28,17,5,13,16
augsburg-2021-2022,augsburg,2021-2022,league_only,38,39,56,38,14,10,8,16
bayern-munich-2021-2022,bayern-munich,2021-2022,league_only,38,97,37,77,1,24,5,5
bochum-2021-2022,bochum,2021-2022,league_only,38,38,52,42,13,12,6,16
dortmund-2021-2022,dortmund,2021-2022,league_only,38,85,52,69,2,22,3,9
eintracht-frankfurt-2021-2022,eintracht-frankfurt,2021-2022,league_only,38,45,49,42,11,10,12,12
freiburg-2021-2022,freiburg,2021-2022,league_only,38,58,46,55,6,15,10,9
gladbach-2021-2022,gladbach,2021-2022,league_only,38,54,61,45,10,12,9,13
greuther-furth-2021-2022,greuther-furth,2021-2022,league_only,38,28,82,18,18,3,9,22
hertha-bsc-2021-2022,hertha-bsc,2021-2022,league_only,38,37,71,33,16,9,6,19
hoffenheim-2021-2022,hoffenheim,2021-2022,league_only,38,58,60,46,9,13,7,14
koln-2021-2022,koln,2021-2022,league_only,38,52,49,52,7,14,10,10
leverkusen-2021-2022,leverkusen,2021-2022,league_only,38,80,47,64,3,19,7,8
mainz-05-2021-2022,mainz-05,2021-2022,league_only,38,50,45,46,8,13,7,14
rb-leipzig-2021-2022,rb-leipzig,2021-2022,league_only,38,72,37,58,4,17,7,10
stuttgart-2021-2022,stuttgart,2021-2022,league_only,38,41,59,33,15,7,12,15
union-berlin-2021-2022,union-berlin,2021-2022,league_only,38,50,44,57,5,16,9,9
wolfsburg-2021-2022,wolfsburg,2021-2022,league_only,38,43,54,42,12,12,6,16
