team_season_id,club_id,season_id,competition_scope,matches_played,team_goals,team_goals_conceded,points,final_table_rank,wins,draws,losses
arsenal-2021-2022,arsenal,2021-2022,league_only,38,61,48,69,5,22,3,13
aston-villa-2021-2022,aston-villa,2021-2022,league_only,38,52,54,45,14,13,6,19
brentford-2021-2022,brentford,2021-2022,league_only,38,48,56,46,13,13,7,18
brighton-2021-2022,brighton,2021-2022,league_only,38,42,44,51,9,12,15,11
burnley-2021-2022,burnley,2021-2022,league_only,38,34,53,35,18,7,14,17
chelsea-2021-2022,chelsea,2021-2022,league_only,38,76,33,74,3,21,11,6
crystal-palace-2021-2022,crystal-palace,2021-2022,league_only,38,50,46,48,12,11,15,12
everton-2021-2022,everton,2021-2022,league_only,38,43,66,39,16,11,6,21
leeds-united-2021-2022,leeds-united,2021-2022,league_only,38,42,79,38,17,9,11,18
leicester-city-2021-2022,leicester-city,2021-2022,league_only,38,62,59,52,8,14,10,14
liverpool-2021-2022,liverpool,2021-2022,league_only,38,94,26,92,2,28,8,2
manchester-city-2021-2022,manchester-city,2021-2022,league_only,38,99,26,93,1,29,6,3
manchester-utd-2021-2022,manchester-utd,2021-2022,league_only,38,57,57,58,6,16,10,12
newcastle-united-2021-2022,newcastle-united,2021-2022,league_only,38,44,62,49,11,13,10,15
norwich-city-2021-2022,norwich-city,2021-2022,league_only,38,23,84,22,20,5,7,26
southampton-2021-2022,southampton,2021-2022,league_only,38,43,67,40,15,9,13,16
tottenham-hotspur-2021-2022,tottenham-hotspur,2021-2022,league_only,38,69,40,71,4,22,5,11
watford-2021-2022,watford,2021-2022,league_only,38,34,77,23,19,6,5,27
west-ham-united-2021-2022,west-ham-united,2021-2022,league_only,38,60,51,56,7,16,8,14
wolves-2021-2022,wolves,2021-2022,league_only,38,38,43,51,10,15,6,17
