rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
1,Patrick van Aanholt,Netherlands,DF,Crystal Palace,Premier League,28,1990,29,2507,3,2,5,2,1,2.1,1.3,60,143,0.11,0.07,43,23,46.0,9,22,45,52,1,0,0,0,0,0,0,0,1241,1595,77.8,8208,88.1,79.7,44.8,32,89,23,89,38,42.1,57.9,60,41,10,15,3,26,19.2,0.18,0.08,0.40,50.0,2.30,0.18,0,2019-2020
2,Max Aarons,England,DF,Norwich City,Premier League,19,2000,36,3240,0,1,1,0,0,0.6,0.6,92,78,0.00,0.03,48,30,50.0,29,17,37,97,1,0,0,0,0,0,0,0,1332,1711,77.8,5691,89.6,74.8,40.5,23,55,28,159,99,48.5,51.5,92,61,21,31,0,14,28.6,0.11,0.00,0.00,31.0,1.78,0.08,0,2019-2020
3,Yunis Abdelhamid,Morocco,DF,Reims,Ligue 1,31,1987,28,2520,3,0,3,3,0,1.7,1.7,21,96,0.11,0.00,46,33,56.7,14,12,47,99,1,0,0,0,0,0,0,0,1323,1570,84.3,10308,88.1,89.2,68.8,5,53,1,194,26,76.9,23.1,21,12,0,5,3,19,26.3,0.18,0.16,0.60,62.5,0.82,0.04,0,2019-2020
4,Suleiman Abdullahi,Nigeria,FW,Union Berlin,Bundesliga,22,1996,6,157,1,0,1,1,0,1.1,1.1,2,3,0.57,0.00,0,0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,19,42,45.2,99,55.0,50.0,25.0,1,2,2,1,5,40.0,60.0,2,2,1,0,1,6,50.0,1.72,0.17,0.33,35.3,2.29,0.00,0,2019-2020
5,Mehdi Abeid,Algeria,MF,Nantes,Ligue 1,26,1992,25,1817,1,2,3,1,0,1.5,1.5,25,104,0.05,0.10,55,29,37.7,3,13,23,8,1,0,0,0,0,0,0,0,792,967,81.9,3634,92.0,88.4,46.1,27,80,6,14,23,69.6,30.4,25,24,3,21,1,33,21.2,0.35,0.03,0.14,43.3,2.63,0.20,0,2019-2020
6,Charles Abi,France,FW,Saint-Étienne,Ligue 1,19,2000,15,623,0,0,0,0,0,0.3,0.3,12,10,0.00,0.00,9,9,28.6,0,2,4,4,0,0,0,0,0,0,0,0,75,132,56.8,234,61.3,55.2,66.7,7,3,4,7,19,68.4,31.6,12,4,5,7,0,5,0.0,0.00,0.00,0,45.2,2.60,0.29,0,2019-2020
7,David Abraham,Argentina,DF,Eint Frankfurt,Bundesliga,33,1986,20,1688,2,0,2,2,0,1.6,1.6,18,99,0.11,0.00,21,14,46.9,11,16,25,61,1,0,0,0,0,0,0,0,738,911,81.0,5563,86.8,85.2,67.3,2,66,8,93,9,77.8,22.2,18,16,1,3,2,7,57.1,0.21,0.29,0.50,61.5,0.69,0.05,0,2019-2020
8,Tammy Abraham,England,FW,Chelsea,Premier League,21,1997,34,2215,15,3,18,15,0,16.4,16.4,31,34,0.61,0.12,8,4,21.4,2,18,6,27,0,0,0,0,0,0,0,0,275,418,65.8,697,72.9,73.3,61.9,21,17,7,30,35,45.7,54.3,31,17,10,42,15,88,39.8,1.42,0.17,0.43,44.1,2.32,0.37,0,2019-2020
9,Amir Abrashi,Albania,MF,Freiburg,Bundesliga,29,1990,13,663,0,0,0,0,0,0.5,0.5,8,27,0.00,0.00,16,8,52.6,3,15,7,16,2,0,0,0,0,0,0,0,280,330,84.8,919,91.0,90.2,55.6,4,24,4,24,5,60.0,40.0,8,4,0,3,0,4,50.0,0.27,0.00,0.00,50.0,1.35,0.00,0,2019-2020
10,Francesco Acerbi,Italy,DF,Lazio,Serie A,31,1988,36,3162,2,2,4,2,0,2.4,2.4,57,150,0.06,0.06,59,29,70.0,27,13,42,109,1,0,0,0,0,0,0,0,1844,2073,89.0,14343,92.7,93.1,75.2,8,149,15,300,14,92.9,7.1,57,22,0,7,2,16,31.3,0.14,0.13,0.40,63.6,1.05,0.14,0,2019-2020
11,Che Adams,Scotland,FW,Southampton,Premier League,23,1996,30,1111,4,2,6,4,0,5.3,5.3,20,16,0.32,0.16,6,4,25.0,1,8,2,10,0,0,0,0,0,0,0,0,162,263,61.6,522,78.2,60.3,47.4,13,9,3,11,25,72.0,28.0,20,16,10,21,4,36,25.0,0.73,0.11,0.44,35.3,2.35,0.49,0,2019-2020
12,Tyler Adams,United States,MF,RB Leipzig,Bundesliga,20,1999,14,953,0,0,0,0,0,0.4,0.4,11,34,0.00,0.00,22,15,48.0,1,15,14,14,0,0,0,0,0,0,0,0,584,703,83.1,2384,88.5,87.3,57.8,7,35,10,19,10,40.0,60.0,11,9,2,9,0,7,14.3,0.09,0.00,0.00,50.0,1.79,0.19,0,2019-2020
13,Sargis Adamyan,Armenia,FW,Hoffenheim,Bundesliga,26,1993,15,746,5,1,6,5,0,5.9,5.9,19,16,0.60,0.12,11,7,14.3,1,7,2,4,0,0,0,0,0,0,0,0,128,180,71.1,351,80.0,80.5,57.1,6,6,5,6,21,47.6,52.4,19,9,7,19,5,21,52.4,1.33,0.24,0.45,26.1,2.53,0.60,0,2019-2020
14,Antonio Adán,Spain,GK,Atlético Madrid,La Liga,32,1987,1,25,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,1,100.0,0,0,0,4,6,66.7,84,100.0,100.0,33.3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,0.0,2019-2020
15,Bobby Adekanye,Netherlands,FW,Lazio,Serie A,20,1999,11,188,1,0,1,1,0,1.4,1.4,6,2,0.48,0.00,3,2,0.0,0,0,2,1,0,0,0,0,0,0,0,0,38,43,88.4,64,83.3,100.0,100.0,3,0,1,1,3,100.0,0.0,6,2,5,6,1,5,80.0,1.91,0.20,0.25,20.0,3.35,0.00,0,2019-2020
16,Claud Adjapong,Italy,DF,Hellas Verona,Serie A,21,1998,5,231,0,0,0,0,0,0.2,0.2,4,5,0.00,0.00,5,3,66.7,3,1,3,7,0,0,0,0,0,0,0,0,58,83,69.9,314,83.3,64.0,42.9,0,3,0,15,2,50.0,50.0,4,4,0,2,0,3,33.3,0.39,0.00,0.00,42.9,0.39,0.00,0,2019-2020
17,Amine Adli,Morocco,MF,Toulouse,Ligue 1,19,2000,4,46,0,0,0,0,0,0.0,0.0,4,3,0.00,0.00,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,20,26,76.9,105,91.7,85.7,33.3,2,3,1,0,4,75.0,25.0,4,1,0,1,0,0,0,0.00,0,0,50.0,5.87,0.00,0,2019-2020
18,Yacine Adli,France,MF,Bordeaux,Ligue 1,19,2000,21,1020,3,3,6,3,0,0.8,0.8,38,65,0.26,0.26,22,14,32.4,0,10,8,3,0,0,0,0,0,0,0,0,448,571,78.5,1845,87.9,81.7,57.9,19,51,5,10,48,54.2,45.8,38,31,3,24,3,17,35.3,0.53,0.18,0.50,43.5,3.97,0.62,0,2019-2020
19,Adrián,Spain,GK,Liverpool,Premier League,32,1987,11,875,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,1,1,100.0,0,0,0,8,3,10,1.03,17,63.0,2,22.2,0,238,311,76.5,4149,100.0,99.1,52.7,0,3,0,298,0,0,0,0,1,1,0,0,0,0,0.00,0,0,100.0,0.21,0.00,5.5,2019-2020
20,Aritz Aduriz,Spain,FW,Athletic Club,La Liga,38,1981,14,208,1,0,1,1,0,1.6,0.8,2,6,0.43,0.00,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,32,57,56.1,68,65.6,46.2,40.0,0,4,0,2,2,50.0,50.0,2,1,2,2,1,6,33.3,0.87,0.17,0.50,67.7,0.87,0.00,0,2019-2020
21,Lumor Agbenyenu,Ghana,DF,Mallorca,La Liga,22,1996,23,1805,1,0,1,1,0,0.3,0.3,60,69,0.05,0.00,31,21,45.7,2,11,21,66,1,0,0,0,0,0,0,0,691,972,71.1,4948,86.4,73.8,35.2,16,44,23,77,47,61.7,38.3,60,40,6,10,1,14,14.3,0.10,0.07,0.50,51.5,1.70,0.00,0,2019-2020
22,Martin Agirregabiria,Spain,DF,Alavés,La Liga,23,1996,31,2099,1,1,2,1,0,0.8,0.8,26,56,0.04,0.04,55,30,55.6,7,12,18,48,0,0,0,0,0,0,0,0,714,1028,69.5,5419,83.3,71.5,40.6,10,37,12,76,29,58.6,41.4,26,21,2,13,1,3,33.3,0.04,0.33,1.00,49.1,1.07,0.13,0,2019-2020
23,Lucien Agoume,France,MF,Inter,Serie A,17,2002,3,68,0,0,0,0,0,0.0,0.0,1,7,0.00,0.00,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,35,38,92.1,208,100.0,89.5,100.0,1,5,2,0,0,0,0,1,0,0,1,0,0,0,0.00,0,0,0,2.65,1.32,0,2019-2020
24,Kevin Agudelo,Colombia,MF,Fiorentina,Serie A,20,1998,3,64,0,0,0,0,0,0.2,0.2,1,4,0.00,0.00,2,1,0.0,0,1,1,0,0,0,0,0,0,0,0,0,29,37,78.4,135,78.3,88.9,66.7,2,2,1,0,3,100.0,0.0,1,1,1,2,0,4,0.0,0.00,0.00,0,0.0,9.84,1.41,0,2019-2020
25,Kevin Agudelo,Colombia,MF,Genoa,Serie A,20,1998,10,666,1,1,2,1,0,1.2,1.2,39,41,0.14,0.14,23,14,50.0,1,11,6,2,0,0,0,0,0,0,0,0,239,293,81.6,893,88.8,87.5,66.7,12,21,5,7,35,71.4,28.6,39,23,6,15,1,10,20.0,0.27,0.10,0.50,33.3,4.33,0.27,0,2019-2020
26,Nayef Aguerd,Morocco,DF,Dijon,Ligue 1,23,1996,11,957,1,0,1,1,0,0.3,0.3,0,27,0.09,0.00,13,9,66.7,11,0,18,54,0,0,0,0,0,0,0,0,492,597,82.4,4411,93.6,88.8,62.9,0,23,0,75,4,75.0,25.0,0,0,0,3,1,4,25.0,0.09,0.25,1.00,76.8,0.38,0.09,0,2019-2020
