player_season_id,player_id,player_name,club_id,club_name,season_id,season_label,primary_position,appearances,starts,minutes_played,goals,assists,shots,shots_on_target,key_passes,progressive_passes,progressive_carries,successful_dribbles,xg,xa,tackles,interceptions,clearances,aerial_duels_won,yellow_cards,red_cards,clean_sheets,team_goals_scored,team_goals_conceded,league_name,final_table_rank,team_points,team_wins,team_draws,team_losses
luis-abram-granada-2021-2022,luis-abram,Luis Abram,granada,Granada,2021-2022,2021/22,DF,8,6,560,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,44,61,La Liga,18,38,8,14,16
marcos-acuna-sevilla-2021-2022,marcos-acuna,Marcos Acuña,sevilla,Sevilla,2021-2022,2021/22,DF,31,26,2260,1,3,16,5,0,0,0,0,0,0,0,0,0,0,10,0,0,53,30,La Liga,4,70,18,16,4
martin-agirregabiria-alaves-2021-2022,martin-agirregabiria,Martin Agirregabiria,alaves,Alavés,2021-2022,2021/22,DF,24,17,1616,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,31,65,La Liga,20,31,8,7,23
joseph-aidoo-celta-vigo-2021-2022,joseph-aidoo,Joseph Aidoo,celta-vigo,Celta Vigo,2021-2022,2021/22,DF,32,30,2637,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,43,43,La Liga,11,46,12,10,16
carlos-akapo-cadiz-2021-2022,carlos-akapo,Carlos Akapo,cadiz,Cádiz,2021-2022,2021/22,DF,25,21,1844,0,0,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0,35,51,La Liga,17,39,8,15,15
paul-akouokou-real-betis-2021-2022,paul-akouokou,Paul Akouokou,real-betis,Real Betis,2021-2022,2021/22,MF,8,6,516,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,62,40,La Liga,5,65,19,8,11
david-alaba-real-madrid-2021-2022,david-alaba,David Alaba,real-madrid,Real Madrid,2021-2022,2021/22,DF,30,30,2642,2,3,21,7,0,0,0,0,0,0,0,0,0,0,2,0,0,80,31,La Liga,1,86,26,8,4
tomas-alarcon-cadiz-2021-2022,tomas-alarcon,Tomás Alarcón,cadiz,Cádiz,2021-2022,2021/22,MF,23,16,1425,0,1,15,2,0,0,0,0,0,0,0,0,0,0,5,0,0,35,51,La Liga,17,39,8,15,15
jordi-alba-barcelona-2021-2022,jordi-alba,Jordi Alba,barcelona,Barcelona,2021-2022,2021/22,DF,30,30,2644,2,10,31,6,0,0,0,0,0,0,0,0,0,0,11,0,0,68,38,La Liga,2,73,21,10,7
raul-albiol-villarreal-2021-2022,raul-albiol,Raúl Albiol,villarreal,Villarreal,2021-2022,2021/22,DF,28,28,2465,0,0,5,1,0,0,0,0,0,0,0,0,0,0,8,0,0,63,37,La Liga,7,59,16,11,11
paco-alcacer-villarreal-2021-2022,paco-alcacer,Paco Alcácer,villarreal,Villarreal,2021-2022,2021/22,FW,18,10,787,1,3,18,6,0,0,0,0,0,0,0,0,0,0,1,0,0,63,37,La Liga,7,59,16,11,11
ruben-alcaraz-cadiz-2021-2022,ruben-alcaraz,Rubén Alcaraz,cadiz,Cádiz,2021-2022,2021/22,MF,14,12,1105,2,0,23,6,0,0,0,0,0,0,0,0,0,0,7,0,0,35,51,La Liga,17,39,8,15,15
omar-alderete-valencia-2021-2022,omar-alderete,Omar Alderete,valencia,Valencia,2021-2022,2021/22,DF,29,28,2403,2,0,17,5,0,0,0,0,0,0,0,0,0,0,15,0,0,48,53,La Liga,9,48,11,15,12
ivan-alejo-cadiz-2021-2022,ivan-alejo,Iván Alejo,cadiz,Cádiz,2021-2022,2021/22,MF,20,11,1065,2,2,12,4,0,0,0,0,0,0,0,0,0,0,7,0,0,35,51,La Liga,17,39,8,15,15
