team_season_id,club_id,season_id,competition_scope,matches_played,team_goals,team_goals_conceded,points,final_table_rank,wins,draws,losses
alaves-2021-2022,alaves,2021-2022,league_only,38,31,65,31,20,8,7,23
athletic-club-2021-2022,athletic-club,2021-2022,league_only,38,43,36,55,8,14,13,11
atletico-madrid-2021-2022,atletico-madrid,2021-2022,league_only,38,65,43,71,3,21,8,9
barcelona-2021-2022,barcelona,2021-2022,league_only,38,68,38,73,2,21,10,7
cadiz-2021-2022,cadiz,2021-2022,league_only,38,35,51,39,17,8,15,15
celta-vigo-2021-2022,celta-vigo,2021-2022,league_only,38,43,43,46,11,12,10,16
elche-2021-2022,elche,2021-2022,league_only,38,40,52,42,13,11,9,18
espanyol-2021-2022,espanyol,2021-2022,league_only,38,40,53,42,14,10,12,16
getafe-2021-2022,getafe,2021-2022,league_only,38,33,41,39,15,8,15,15
granada-2021-2022,granada,2021-2022,league_only,38,44,61,38,18,8,14,16
levante-2021-2022,levante,2021-2022,league_only,38,51,76,35,19,8,11,19
mallorca-2021-2022,mallorca,2021-2022,league_only,38,36,63,39,16,10,9,19
osasuna-2021-2022,osasuna,2021-2022,league_only,38,37,51,47,10,12,11,15
rayo-vallecano-2021-2022,rayo-vallecano,2021-2022,league_only,38,39,50,42,12,11,9,18
real-betis-2021-2022,real-betis,2021-2022,league_only,38,62,40,65,5,19,8,11
real-madrid-2021-2022,real-madrid,2021-2022,league_only,38,80,31,86,1,26,8,4
real-sociedad-2021-2022,real-sociedad,2021-2022,league_only,38,40,37,62,6,17,11,10
sevilla-2021-2022,sevilla,2021-2022,league_only,38,53,30,70,4,18,16,4
valencia-2021-2022,valencia,2021-2022,league_only,38,48,53,48,9,11,15,12
villarreal-2021-2022,villarreal,2021-2022,league_only,38,63,37,59,7,16,11,11
