player_season_id,player_id,player_name,club_id,club_name,season_id,season_label,primary_position,appearances,starts,minutes_played,goals,assists,shots,shots_on_target,key_passes,progressive_passes,progressive_carries,successful_dribbles,xg,xa,tackles,interceptions,clearances,aerial_duels_won,yellow_cards,red_cards,clean_sheets,team_goals_scored,team_goals_conceded,league_name,final_table_rank,team_points,team_wins,team_draws,team_losses
yunis-abdelhamid-reims-2021-2022,yunis-abdelhamid,Yunis Abdelhamid,reims,Reims,2021-2022,2021/22,DF,34,34,2983,2,0,18,6,0,0,0,0,0,0,0,0,0,0,5,1,0,43,44,Ligue 1,12,46,11,13,14
salis-abdul-samed-clermont-foot-2021-2022,salis-abdul-samed,Salis Abdul Samed,clermont-foot,Clermont Foot,2021-2022,2021/22,MF,31,29,2462,1,0,18,5,0,0,0,0,0,0,0,0,0,0,12,3,0,38,69,Ligue 1,17,36,9,9,20
laurent-abergel-lorient-2021-2022,laurent-abergel,Laurent Abergel,lorient,Lorient,2021-2022,2021/22,MF,34,34,2956,0,2,30,7,0,0,0,0,0,0,0,0,0,0,9,0,0,35,63,Ligue 1,16,36,8,12,18
yacine-adli-bordeaux-2021-2022,yacine-adli,Yacine Adli,bordeaux,Bordeaux,2021-2022,2021/22,MF,36,25,2260,1,7,32,15,0,0,0,0,0,0,0,0,0,0,5,0,0,52,91,Ligue 1,20,31,6,13,19
lucien-agoume-brest-2021-2022,lucien-agoume,Lucien Agoume,brest,Brest,2021-2022,2021/22,MF,27,21,1868,0,0,15,1,0,0,0,0,0,0,0,0,0,0,6,0,0,49,57,Ligue 1,11,48,13,9,16
nayef-aguerd-rennes-2021-2022,nayef-aguerd,Nayef Aguerd,rennes,Rennes,2021-2022,2021/22,DF,31,31,2735,2,2,25,7,0,0,0,0,0,0,0,0,0,0,3,1,0,82,40,Ligue 1,4,66,20,6,12
ruben-aguilar-monaco-2021-2022,ruben-aguilar,Ruben Aguilar,monaco,Monaco,2021-2022,2021/22,DF,28,22,2140,0,2,10,2,0,0,0,0,0,0,0,0,0,0,4,0,0,65,40,Ligue 1,3,69,20,9,9
anel-ahmedhodzic-bordeaux-2021-2022,anel-ahmedhodzic,Anel Ahmedhodžić,bordeaux,Bordeaux,2021-2022,2021/22,DF,15,15,1350,0,1,8,4,0,0,0,0,0,0,0,0,0,0,6,0,0,52,91,Ligue 1,20,31,6,13,19
jean-eudes-aholou-strasbourg-2021-2022,jean-eudes-aholou,Jean-Eudes Aholou,strasbourg,Strasbourg,2021-2022,2021/22,MF,25,11,1004,1,1,17,2,0,0,0,0,0,0,0,0,0,0,2,0,0,60,43,Ligue 1,6,63,17,12,9
ludovic-ajorque-strasbourg-2021-2022,ludovic-ajorque,Ludovic Ajorque,strasbourg,Strasbourg,2021-2022,2021/22,FW,36,31,2738,12,8,60,28,0,0,0,0,0,0,0,0,0,0,5,1,0,60,43,Ligue 1,6,63,17,12,9
dogan-alemdar-rennes-2021-2022,dogan-alemdar,Doğan Alemdar,rennes,Rennes,2021-2022,2021/22,GK,12,12,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,40,Ligue 1,4,66,20,6,12
mohamed-ali-cho-angers-2021-2022,mohamed-ali-cho,Mohamed Ali Cho,angers,Angers,2021-2022,2021/22,FW,32,21,1837,4,1,42,16,0,0,0,0,0,0,0,0,0,0,6,2,0,44,55,Ligue 1,14,41,10,11,17
jim-allevinah-clermont-foot-2021-2022,jim-allevinah,Jim Allevinah,clermont-foot,Clermont Foot,2021-2022,2021/22,MF,30,13,1488,1,2,43,15,0,0,0,0,0,0,0,0,0,0,1,0,0,38,69,Ligue 1,17,36,9,9,20
ibrahim-amadou-metz-2021-2022,ibrahim-amadou,Ibrahim Amadou,metz,Metz,2021-2022,2021/22,DF,10,10,812,1,0,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,35,69,Ligue 1,19,31,6,13,19
benjamin-andre-lille-2021-2022,benjamin-andre,Benjamin André,lille,Lille,2021-2022,2021/22,MF,33,33,2752,2,1,16,5,0,0,0,0,0,0,0,0,0,0,12,1,0,48,48,Ligue 1,10,55,14,13,11
houssem-aouar-lyon-2021-2022,houssem-aouar,Houssem Aouar,lyon,Lyon,2021-2022,2021/22,MF,36,29,2504,6,4,76,24,0,0,0,0,0,0,0,0,0,0,1,0,0,66,51,Ligue 1,8,61,17,11,10
adil-aouchiche-saint-etienne-2021-2022,adil-aouchiche,Adil Aouchiche,saint-etienne,Saint-Étienne,2021-2022,2021/22,MF,35,11,1081,0,4,21,10,0,0,0,0,0,0,0,0,0,0,2,0,0,42,77,Ligue 1,18,32,7,11,20
dennis-appiah-nantes-2021-2022,dennis-appiah,Dennis Appiah,nantes,Nantes,2021-2022,2021/22,DF,32,22,2099,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,55,48,Ligue 1,9,55,15,10,13
