team_season_id,club_id,season_id,competition_scope,matches_played,team_goals,team_goals_conceded,points,final_table_rank,wins,draws,losses
angers-2021-2022,angers,2021-2022,league_only,38,44,55,41,14,10,11,17
bordeaux-2021-2022,bordeaux,2021-2022,league_only,38,52,91,31,20,6,13,19
brest-2021-2022,brest,2021-2022,league_only,38,49,57,48,11,13,9,16
clermont-foot-2021-2022,clermont-foot,2021-2022,league_only,38,38,69,36,17,9,9,20
lens-2021-2022,lens,2021-2022,league_only,38,62,48,62,7,17,11,10
lille-2021-2022,lille,2021-2022,league_only,38,48,48,55,10,14,13,11
lorient-2021-2022,lorient,2021-2022,league_only,38,35,63,36,16,8,12,18
lyon-2021-2022,lyon,2021-2022,league_only,38,66,51,61,8,17,11,10
marseille-2021-2022,marseille,2021-2022,league_only,38,63,38,71,2,21,8,9
metz-2021-2022,metz,2021-2022,league_only,38,35,69,31,19,6,13,19
monaco-2021-2022,monaco,2021-2022,league_only,38,65,40,69,3,20,9,9
montpellier-2021-2022,montpellier,2021-2022,league_only,38,49,61,43,13,12,7,19
nantes-2021-2022,nantes,2021-2022,league_only,38,55,48,55,9,15,10,13
nice-2021-2022,nice,2021-2022,league_only,38,52,36,66,5,20,7,11
paris-saint-germain-2021-2022,paris-saint-germain,2021-2022,league_only,38,90,36,86,1,26,8,4
reims-2021-2022,reims,2021-2022,league_only,38,43,44,46,12,11,13,14
rennes-2021-2022,rennes,2021-2022,league_only,38,82,40,66,4,20,6,12
saint-etienne-2021-2022,saint-etienne,2021-2022,league_only,38,42,77,32,18,7,11,20
strasbourg-2021-2022,strasbourg,2021-2022,league_only,38,60,43,63,6,17,12,9
troyes-2021-2022,troyes,2021-2022,league_only,38,37,53,38,15,9,11,18
