player_season_id,player_id,player_name,club_id,club_name,season_id,season_label,primary_position,appearances,starts,minutes_played,goals,assists,shots,shots_on_target,key_passes,progressive_passes,progressive_carries,successful_dribbles,xg,xa,tackles,interceptions,clearances,aerial_duels_won,yellow_cards,red_cards,clean_sheets,team_goals_scored,team_goals_conceded,league_name,final_table_rank,team_points,team_wins,team_draws,team_losses
tammy-abraham-roma-2021-2022,tammy-abraham,Tammy Abraham,roma,Roma,2021-2022,2021/22,FW,37,36,3084,17,4,95,39,0,0,0,0,0,0,0,0,0,0,9,0,0,59,43,Serie A,6,63,18,9,11
francesco-acerbi-lazio-2021-2022,francesco-acerbi,Francesco Acerbi,lazio,Lazio,2021-2022,2021/22,DF,30,29,2536,4,0,15,7,0,0,0,0,0,0,0,0,0,0,2,1,0,77,58,Serie A,5,64,18,10,10
felix-afena-gyan-roma-2021-2022,felix-afena-gyan,Felix Afena-Gyan,roma,Roma,2021-2022,2021/22,MF,17,6,668,2,0,17,7,0,0,0,0,0,0,0,0,0,0,5,1,0,59,43,Serie A,6,63,18,9,11
kevin-agudelo-spezia-2021-2022,kevin-agudelo,Kevin Agudelo,spezia,Spezia,2021-2022,2021/22,MF,23,12,1237,3,1,21,11,0,0,0,0,0,0,0,0,0,0,2,1,0,41,71,Serie A,16,36,10,6,22
ola-aina-torino-2021-2022,ola-aina,Ola Aina,torino,Torino,2021-2022,2021/22,MF,21,17,1437,0,0,10,4,0,0,0,0,0,0,0,0,0,0,4,0,0,46,41,Serie A,10,50,13,11,14
luis-alberto-lazio-2021-2022,luis-alberto,Luis Alberto,lazio,Lazio,2021-2022,2021/22,MF,34,27,2353,5,9,47,16,0,0,0,0,0,0,0,0,0,0,5,0,0,77,58,Serie A,5,64,18,10,10
giorgio-altare-cagliari-2021-2022,giorgio-altare,Giorgio Altare,cagliari,Cagliari,2021-2022,2021/22,DF,19,17,1466,1,0,18,6,0,0,0,0,0,0,0,0,0,0,5,0,0,34,68,Serie A,18,30,6,12,20
kelvin-amian-spezia-2021-2022,kelvin-amian,Kelvin Amian,spezia,Spezia,2021-2022,2021/22,DF,32,31,2646,1,1,26,9,0,0,0,0,0,0,0,0,0,0,9,2,0,41,71,Serie A,16,36,10,6,22
nadiem-amiri-genoa-2021-2022,nadiem-amiri,Nadiem Amiri,genoa,Genoa,2021-2022,2021/22,MF,13,9,683,0,1,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,60,Serie A,19,28,4,16,18
ethan-ampadu-venezia-2021-2022,ethan-ampadu,Ethan Ampadu,venezia,Venezia,2021-2022,2021/22,DF,29,26,2282,0,3,7,1,0,0,0,0,0,0,0,0,0,0,13,2,0,34,69,Serie A,20,27,6,9,23
