team_season_id,club_id,season_id,competition_scope,matches_played,team_goals,team_goals_conceded,points,final_table_rank,wins,draws,losses
atalanta-2021-2022,atalanta,2021-2022,league_only,38,65,48,59,8,16,11,11
bologna-2021-2022,bologna,2021-2022,league_only,38,44,55,46,13,12,10,16
cagliari-2021-2022,cagliari,2021-2022,league_only,38,34,68,30,18,6,12,20
empoli-2021-2022,empoli,2021-2022,league_only,38,50,70,41,14,10,11,17
fiorentina-2021-2022,fiorentina,2021-2022,league_only,38,59,51,62,7,19,5,14
genoa-2021-2022,genoa,2021-2022,league_only,38,27,60,28,19,4,16,18
hellas-verona-2021-2022,hellas-verona,2021-2022,league_only,38,65,59,53,9,14,11,13
inter-2021-2022,inter,2021-2022,league_only,38,84,32,84,2,25,9,4
juventus-2021-2022,juventus,2021-2022,league_only,38,57,37,70,4,20,10,8
lazio-2021-2022,lazio,2021-2022,league_only,38,77,58,64,5,18,10,10
milan-2021-2022,milan,2021-2022,league_only,38,69,31,86,1,26,8,4
napoli-2021-2022,napoli,2021-2022,league_only,38,74,31,79,3,24,7,7
roma-2021-2022,roma,2021-2022,league_only,38,59,43,63,6,18,9,11
salernitana-2021-2022,salernitana,2021-2022,league_only,38,33,78,31,17,7,10,21
sampdoria-2021-2022,sampdoria,2021-2022,league_only,38,46,63,36,15,10,6,22
sassuolo-2021-2022,sassuolo,2021-2022,league_only,38,64,66,50,11,13,11,14
spezia-2021-2022,spezia,2021-2022,league_only,38,41,71,36,16,10,6,22
torino-2021-2022,torino,2021-2022,league_only,38,46,41,50,10,13,11,14
udinese-2021-2022,udinese,2021-2022,league_only,38,61,58,47,12,11,14,13
venezia-2021-2022,venezia,2021-2022,league_only,38,34,69,27,20,6,9,23
