player_name,club_name,tackles_won,interceptions
"Dickson Abiama","Greuther Fürth",7,5
"Ragnar Ache","Eintracht Frankfurt",0,0
"Tyler Adams","RB Leipzig",9,17
"Sargis Adamyan","Hoffenheim",5,1
"Amine Adli","Leverkusen",14,11
"Naouirou Ahamada","Stuttgart",0,0
"Manuel Akanji","Dortmund",23,36
"Kevin Akpoguma","Hoffenheim",21,21
"Lucas Alario","Leverkusen",5,1
"Nadiem Amiri","Leverkusen",4,5
"Sebastian Andersson","Köln",7,2
"Andrés Andrade Cedeño","Arminia",16,18
"Fredrik André Bjørkan","Hertha BSC",11,6
"Robert Andrich","Leverkusen",16,31
"Angeliño","RB Leipzig",20,31
"Waldemar Anton","Stuttgart",27,32
"Christopher Antwi-Adjei","Bochum",17,1
"Charles Aránguiz","Leverkusen",26,34
"Maximilian Arnold","Wolfsburg",20,38
"Takuma Asano","Bochum",6,9
"Santiago Ascacíbar","Hertha BSC",52,43
"Fisnik Asllani","Hoffenheim",0,0
"Simon Asta","Greuther Fürth",7,7
"Taiwo Awoniyi","Union Berlin",7,1
"Sardar Azmoun","Leverkusen",1,0
"Mitchel Bakker","Leverkusen",21,24
"Ridle Baku","Wolfsburg",39,24
"Aymen Barkok","Eintracht Frankfurt",3,5
"Leandro Barreiro Martins","Mainz 05",33,34
"Jacob Barrett Laursen","Arminia",12,29
"Abdourahmane Barry","Greuther Fürth",5,4
"Maximilian Bauer","Greuther Fürth",16,32
"Oliver Baumann","Hoffenheim",0,0
"Timo Baumgartl","Union Berlin",29,38
"Julian Baumgartlinger","Leverkusen",1,2
"Christoph Baumgartner","Hoffenheim",16,8
"Noah Joel Sarenren Bazee","Augsburg",2,1
"Ihlas Bebou","Hoffenheim",15,12
"Sheraldo Becker","Union Berlin",6,2
"Kevin Behrens","Union Berlin",2,3
"Ishak Belfodil","Hertha BSC",6,5
"Stefan Bell","Mainz 05",23,41
"Armel Bella Kotchap","Bochum",18,41
"Karim Bellarabi","Leverkusen",5,8
"Jude Bellingham","Dortmund",34,37
"George Bello","Arminia",7,7
"László Bénes","Gladbach",3,2
"Keanan Bennetts","Gladbach",0,0
"Ramy Bensebaini","Gladbach",29,39
"Jordan Beyer","Gladbach",28,15
"Bartosz Białek","Wolfsburg",0,0
"Ermin Bičakčić","Hoffenheim",0,0
"Tom Bischof","Hoffenheim",0,0
"Danny Blum","Bochum",1,2
"Kevin-Prince Boateng","Hertha BSC",5,5
"Herbert Bockhorn","Bochum",14,14
"Jean-Paul Boëtius","Mainz 05",23,30
"Tarsis Bonga","Bochum",0,0
"Solomon Bonnah","RB Leipzig",0,1
"Sebastiaan Bornauw","Wolfsburg",20,42
"Rafael Borré","Eintracht Frankfurt",21,5
"Dedryck Boyata","Hertha BSC",13,18
"Julian Brandt","Dortmund",20,25
"Iker Bravo","Leverkusen",1,0
"Fabian Bredlow","Stuttgart",0,0
"Josip Brekalo","Wolfsburg",0,0
"Brian Brobbey","RB Leipzig",0,0
"John Brooks","Wolfsburg",27,43
"Daniel Brosinski","Mainz 05",1,3
"Cédric Brunner","Arminia",33,46
"Jacob Bruun Larsen","Hoffenheim",2,4
"Sascha Burchert","Greuther Fürth",1,0
"Delano Burgzorg","Mainz 05",1,0
"Jonathan Burkardt","Mainz 05",8,8
"Roman Bürki","Dortmund",0,0
"Daniel Caligiuri","Augsburg",28,17
"Emre Can","Dortmund",22,36
"Koen Casteels","Wolfsburg",0,0
"Gonzalo Castro","Arminia",4,3
"Julian Chabot","Köln",5,4
"Timothy Chandler","Eintracht Frankfurt",12,20
"Justin Che","Hoffenheim",0,1
"Max Christiansen","Greuther Fürth",25,67
"Kingsley Coman","Bayern Munich",8,8
"Lucas Copado","Bayern Munich",0,0
"Sergio Córdova","Augsburg",3,0
"Danny da Costa","Eintracht Frankfurt",2,11
"Tanguy Coulibaly","Stuttgart",14,3
"Mickaël Cuisance","Bayern Munich",1,0
"Matheus Cunha","Hertha BSC",0,0
"Rafael Czichos","Köln",20,19
"Lennart-Marten Czyborra","Arminia",0,3
"Moanes Dabbur","Hoffenheim",11,5
"Finn Dahmen","Mainz 05",0,0
"Mahmoud Dahoud","Dortmund",23,14
"Márton Dárdai","Hertha BSC",5,19
"Vladimír Darida","Hertha BSC",18,22
"Alphonso Davies","Bayern Munich",16,21
"Saulo Decarli","Bochum",0,0
"Thomas Delaney","Dortmund",0,0
"Kerem Demirbay","Leverkusen",31,32
"Ermedin Demirović","Freiburg",6,1
"Mike van der Hoorn","Arminia",0,1
"Moussa Diaby","Leverkusen",11,8
"Daniel Didavi","Stuttgart",2,1
"Javairô Dilrosun","Hertha BSC",1,0
"Lee Dongjun","Hertha BSC",1,2
"Niklas Dorsch","Augsburg",51,35
"Ondrej Duda","Köln",15,18
"Jeremy Dudziak","Greuther Fürth",7,11
"Erik Durm","Eintracht Frankfurt",9,8
"Maximilian Eggestein","Freiburg",28,31
"Lilian Egloff","Stuttgart",1,0
"Kingsley Ehizibue","Köln",19,9
"Julian Eitschberger","Hertha BSC",0,2
"Jurgen Ekkelenkamp","Hertha BSC",2,5
"Nico Elvedi","Gladbach",24,37
"Breel Embolo","Gladbach",11,7
"Keita Endo","Union Berlin",1,0
"Wataru Endo","Stuttgart",39,30
"Michael Esser","Bochum",0,0
"Wahid Faghir","Stuttgart",0,0
"Ömer Faruk Beyaz","Stuttgart",3,1
"Adrian Fein","Greuther Fürth",0,2
"Ohis Felix Uduokhai","Augsburg",6,9
"Edimilson Fernandes","Arminia",0,2
"Alfreð Finnbogason","Augsburg",2,2
"Mark Flekken","Freiburg",0,2
"Emil Forsberg","RB Leipzig",14,2
"Philipp Förster","Stuttgart",13,5
"Timothy Fosu-Mensah","Leverkusen",3,2
"Raphael Framberger","Augsburg",19,10
"Marvin Friedrich","Gladbach",9,7
"Marvin Friedrich","Union Berlin",6,24
"Jeremie Frimpong","Leverkusen",16,20
"Christian Früchtl","Bayern Munich",0,0
"Chris Führich","Stuttgart",16,6
"Marius Funk","Greuther Fürth",0,0
"Stephan Fürstner","Mainz 05",0,0
"Mijat Gaćinović","Hoffenheim",3,1
"Cristian Gamboa","Bochum",36,33
"Silvère Ganvoula M'Boussy","Bochum",0,0
"Linus Gechter","Hertha BSC",7,10
"Dennis Geiger","Hoffenheim",24,15
"Yannick Gerhardt","Wolfsburg",20,24
"Hamadi Al Ghaddioui","Stuttgart",5,0
"Niko Gießelmann","Union Berlin",17,19
"Rafał Gikiewicz","Augsburg",0,3
"Daniel Ginczek","Wolfsburg",0,0
"Matthias Ginter","Gladbach",22,32
"Jamie Gittens","Dortmund",1,1
"Serge Gnabry","Bayern Munich",34,15
"Leon Goretzka","Bayern Munich",16,17
"Jeffrey Gouweleeuw","Augsburg",30,48
"Jens Grahl","Eintracht Frankfurt",0,0
"Julian Green","Greuther Fürth",5,7
"Michael Gregoritsch","Augsburg",8,6
"Sebastian Griesbeck","Greuther Fürth",36,47
"Sebastian Griesbeck","Union Berlin",1,0
"Vincenzo Grifo","Freiburg",15,15
"Lennart Grill","Leverkusen",0,0
"Florian Grillitsch","Hoffenheim",21,28
"Carlos Gruezo","Augsburg",11,9
"Raphaël Guerreiro","Dortmund",21,23
"Josuha Guilavogui","Wolfsburg",12,26
"Péter Gulácsi","RB Leipzig",0,1
"Manuel Gulde","Freiburg",10,19
"Robert Gumny","Augsburg",32,28
"Christian Günter","Freiburg",19,16
"Lasse Günther","Augsburg",5,2
"Joško Gvardiol","RB Leipzig",30,54
"Erling Haaland","Dortmund",0,1
"Janik Haberer","Freiburg",8,17
"Alexander Hack","Mainz 05",28,57
"Robin Hack","Arminia",10,4
"André Hahn","Augsburg",22,15
"Amadou Haidara","RB Leipzig",16,14
"Marcel Halstenberg","RB Leipzig",7,8
"Genki Haraguchi","Union Berlin",20,26
"Luis Hartwig","Bochum",0,0
"Makoto Hasebe","Eintracht Frankfurt",14,20
"Thorgan Hazard","Dortmund",13,7
"Jonas Hector","Köln",40,54
"Hwang Hee-chan","RB Leipzig",0,1
"Dominique Heintz","Union Berlin",5,6
"Dominique Heintz","Freiburg",0,1
"Benjamin Henrichs","RB Leipzig",19,19
"Lucas Hernández","Bayern Munich",32,31
"Patrick Herrmann","Gladbach",8,6
"Piero Hincapié","Leverkusen",22,32
"Martin Hinteregger","Eintracht Frankfurt",28,45
"Marwin Hitz","Dortmund",0,0
"Nicolas Höfler","Freiburg",41,46
"Jonas Hofmann","Gladbach",19,13
"Lucas Höler","Freiburg",28,18
"Gerrit Holtmann","Bochum",7,7
"Justin Hoogma","Greuther Fürth",6,4
"Jannes Horn","Köln",4,4
"Timo Horn","Köln",0,0
"Lukáš Hrádecký","Leverkusen",1,0
"Branimir Hrgota","Greuther Fürth",31,12
"Ajdin Hrustic","Eintracht Frankfurt",12,10
"Timo Hübers","Köln",30,54
"Benjamin Hübner","Hoffenheim",6,9
"Mats Hummels","Dortmund",21,33
"Iago","Augsburg",27,26
"Stefan Ilsanker","Eintracht Frankfurt",8,6
"Burak İnce","Arminia",1,0
"Marcus Ingvartsen","Union Berlin",0,2
"Marcus Ingvartsen","Mainz 05",2,6
"Hiroki Ito","Stuttgart",31,52
"Cedric Itten","Greuther Fürth",2,2
"Gian-Luca Itter","Greuther Fürth",30,13
"Lee Jae-sung","Mainz 05",12,20
"Paul Jaeckel","Union Berlin",28,56
"Kristijan Jakić","Eintracht Frankfurt",22,18
"Tony Jantschke","Gladbach",5,4
"Dennis Jastrzembski","Hertha BSC",1,5
"Fredrik Jensen","Augsburg",4,2
"Marco John","Hoffenheim",0,1
"Stevan Jovetić","Hertha BSC",2,1
"Gideon Jung","Greuther Fürth",1,2
"Anton Kade","Hertha BSC",2,3
"Pavel Kadeřábek","Hoffenheim",11,14
"Florian Kainz","Köln",28,32
"Sasa Kalajdzic","Stuttgart",6,2
"Daichi Kamada","Eintracht Frankfurt",20,9
"Kevin Kampl","RB Leipzig",19,23
"Stefanos Kapino","Arminia",0,0
"Atakan Karazor","Stuttgart",24,35
"Silas Katompa","Stuttgart",2,4
"Noah Katterbach","Köln",1,0
"Yannik Keitel","Freiburg",4,2
"Marc-Oliver Kempf","Stuttgart",9,15
"Marc-Oliver Kempf","Hertha BSC",9,25
"Rani Khedira","Union Berlin",39,50
"Luca Kilian","Mainz 05",0,0
"Luca Kilian","Köln",26,49
"Joshua Kimmich","Bayern Munich",21,55
"Philipp Klement","Stuttgart",3,1
"Mateo Klimowicz","Stuttgart",6,4
"Fabian Klos","Arminia",6,0
"Lukas Klostermann","RB Leipzig",17,28
"Lukas Klünter","Hertha BSC",1,1
"Ansgar Knauff","Dortmund",1,0
"Ansgar Knauff","Eintracht Frankfurt",13,8
"Robin Knoche","Union Berlin",24,50
"Gregor Kobel","Dortmund",0,1
"Dominik Kohr","Mainz 05",20,38
"Manu Koné","Gladbach",39,34
"Odilon Kossounou","Leverkusen",17,25
"Filip Kostić","Eintracht Frankfurt",16,16
"Andrej Kramarić","Hoffenheim",4,12
"Christoph Kramer","Gladbach",12,12
"Florian Krüger","Arminia",1,3
"Max Kruse","Wolfsburg",3,4
"Max Kruse","Union Berlin",1,2
"Lukas Kübler","Freiburg",34,40
"Fabian Kunze","Arminia",21,19
"Maxence Lacroix","Wolfsburg",33,59
"Konrad Laimer","RB Leipzig",24,4
"Stefan Lainer","Gladbach",12,14
"Vassilis Lambropoulos","Bochum",12,18
"Sam Lammers","Eintracht Frankfurt",4,2
"Bryan Lasme","Arminia",5,2
"Maxim Leitsch","Bochum",10,33
"Tim Lemperle","Köln",1,2
"Christopher Lenz","Eintracht Frankfurt",18,7
"Robert Lewandowski","Bayern Munich",2,6
"Jamie Leweling","Greuther Fürth",9,11
"Philipp Lienhart","Freiburg",14,48
"Andreas Linde","Greuther Fürth",0,2
"Jesper Lindstrøm","Eintracht Frankfurt",14,23
"Dejan Ljubicic","Köln",20,15
"Jürgen Locadia","Bochum",2,1
"Anthony Losilla","Bochum",42,72
"Marcel Lotka","Hertha BSC",0,1
"Eduard Löwen","Bochum",24,8
"Anderson Lucoqui","Mainz 05",11,12
"Dodi Lukebakio","Hertha BSC",1,2
"Dodi Lukebakio","Wolfsburg",5,13
"Andrey Lunyov","Leverkusen",0,0
"Andreas Luthe","Union Berlin",0,0
"Matej Maglica","Stuttgart",0,0
"Arne Maier","Augsburg",13,14
"Donyell Malen","Dortmund",9,10
"Lennard Maloney","Dortmund",0,0
"Orel Mangala","Stuttgart",12,12
"Myziane Maolida","Hertha BSC",4,1
"Omar Marmoush","Wolfsburg",0,0
"Omar Marmoush","Stuttgart",17,10
"Aarón Martín","Mainz 05",33,20
"Josep Martinez","RB Leipzig",0,0
"Erhan Mašović","Bochum",19,30
"Roberto Massimo","Stuttgart",5,4
"Konstantinos Mavropanos","Stuttgart",40,64
"Eric Maxim Choupo-Moting","Bayern Munich",9,5
"Kevin Mbabu","Wolfsburg",21,32
"Nathan de Medina","Arminia",10,10
"Admir Mehmedi","Wolfsburg",0,0
"Jorge Meré","Köln",6,11
"Thomas Meunier","Dortmund",19,12
"Marco Meyerhöfer","Greuther Fürth",33,43
"Sven Michel","Union Berlin",6,1
"Enzo Millot","Stuttgart",0,1
"Maximilian Mittelstädt","Hertha BSC",35,43
"Anthony Modeste","Köln",6,4
"Kevin Möhwald","Union Berlin",2,3
"Clinton Mola","Stuttgart",1,2
"Jan Morávek","Augsburg",6,6
"Ilaix Moriba","RB Leipzig",0,1
"Youssoufa Moukoko","Dortmund",0,2
"Nordi Mukiele","RB Leipzig",24,29
"Florian Müller","Stuttgart",0,0
"Thomas Müller","Bayern Munich",20,14
"Torben Müsel","Gladbach",0,0
"Jamal Musiala","Bayern Munich",26,19
"Obite N'Dicka","Eintracht Frankfurt",37,47
"Nikolas Nartey","Stuttgart",3,6
"Paul Nebel","Mainz 05",5,0
"David Nemeth","Mainz 05",2,6
"Luca Netz","Gladbach",10,13
"Manuel Neuer","Bayern Munich",2,0
"Florian Neuhaus","Gladbach",28,33
"Jessic Ngankam","Greuther Fürth",2,0
"Moussa Niakhate","Mainz 05",24,52
"Tanguy Nianzou","Bayern Munich",7,7
"Florian Niederlechner","Augsburg",5,5
"Håvard Nielsen","Greuther Fürth",11,8
"Joakim Nilsson","Arminia",20,61
"Christopher Nkunku","RB Leipzig",8,14
"Felix Nmecha","Wolfsburg",1,7
"Lukas Nmecha","Wolfsburg",6,4
"Håvard Nordtveit","Hoffenheim",7,9
"Connor Noß","Gladbach",0,0
"Hugo Novoa","RB Leipzig",4,1
"Soma Novothny","Bochum",1,0
"Kasim Nuhu","Hoffenheim",0,0
"Hans Nunoo Sarpei","Greuther Fürth",11,13
"Bastian Oczipka","Union Berlin",14,11
"Masaya Okugawa","Arminia",26,18
"Mathias Olesen","Köln",0,1
"Dani Olmo","RB Leipzig",8,4
"Karim Onisiwo","Mainz 05",9,7
"Willi Orban","RB Leipzig",21,47
"Stefan Ortega","Arminia",0,0
"Patrick Osterhage","Bochum",6,13
"Tomáš Ostrák","Köln",0,1
"Paulo Otávio","Wolfsburg",10,4
"Reece Oxford","Augsburg",15,71
"Salih Özcan","Köln",30,54
"Levin Öztunalı","Union Berlin",11,4
"Gonçalo Paciência","Eintracht Frankfurt",2,1
"Exequiel Palacios","Leverkusen",22,27
"Miloš Pantović","Bochum",13,19
"Antonios Papadopoulos","Dortmund",0,0
"Merveille Papela","Mainz 05",2,3
"Kevin Paredes","Wolfsburg",0,0
"Felix Passlack","Dortmund",9,4
"Paulinho","Leverkusen",14,6
"Benjamin Pavard","Bayern Munich",21,37
"Mads Pedersen","Augsburg",22,15
"Peter Pekarík","Hertha BSC",30,29
"Philipp Pentke","Hoffenheim",0,0
"Ricardo Pepi","Augsburg",2,2
"Pavao Pervan","Wolfsburg",0,0
"Nils Petersen","Freiburg",3,2
"Jens Petter Hauge","Eintracht Frankfurt",6,3
"Immanuel Pherai","Dortmund",0,0
"Maximilian Philipp","Wolfsburg",12,4
"Krzysztof Piątek","Hertha BSC",2,0
"Amos Pieper","Arminia",31,50
"Marvin Plattenhardt","Hertha BSC",8,17
"Alassane Pléa","Gladbach",13,4
"Joel Pohjanpalo","Leverkusen",0,0
"Sebastian Polter","Bochum",4,2
"Marin Pongračić","Dortmund",11,17
"Stefan Posch","Hoffenheim",28,27
"Yussuf Poulsen","RB Leipzig",7,3
"Manuel Prietl","Arminia",30,40
"Grischa Prömel","Union Berlin",23,21
"Nick Proschwitz","Hoffenheim",0,0
"Afimico Pululu","Greuther Fürth",0,0
"Sidney Raebiger","RB Leipzig",0,0
"Diant Ramaj","Eintracht Frankfurt",0,0
"Guilherme Ramos","Arminia",15,29
"Tobias Raschl","Greuther Fürth",9,1
"David Raum","Hoffenheim",31,25
"Reinier","Dortmund",3,0
"Panagiotis Retsos","Leverkusen",0,1
"Marco Reus","Dortmund",28,10
"Elvis Rexhbeçaj","Bochum",20,28
"Gio Reyna","Dortmund",5,0
"Chris Richards","Hoffenheim",14,21
"Chris Richards","Bayern Munich",0,0
"Omar Richards","Bayern Munich",12,4
"Marco Richter","Hertha BSC",15,17
