player_name,club_name,tackles_won,interceptions
Virgil van Dijk,Liverpool,11,31
N'Golo Kanté,Chelsea,33,30
Mohamed Salah,Liverpool,8,5
Trent Alexander-Arnold,Liverpool,24,44
Kevin De Bruyne,Manchester City,16,7
Son Heung-min,Tottenham Hotspur,7,12
Harry Kane,Tottenham Hotspur,5,5
Cristiano Ronaldo,Manchester Utd,6,3
Bruno Fernandes,Manchester Utd,22,16
Rúben Dias,Manchester City,16,39
Antonio Rüdiger,Chelsea,31,34
Andrew Robertson,Liverpool,36,23
João Cancelo,Manchester City,43,26
Declan Rice,West Ham United,52,37
Rodri,Manchester City,39,42
Fabinho,Liverpool,41,29
Diogo Jota,Liverpool,6,7
Sadio Mané,Liverpool,18,10
Bernardo Silva,Manchester City,25,19
Phil Foden,Manchester City,10,6
Mason Mount,Chelsea,27,18
Jarrod Bowen,West Ham United,20,8
Bukayo Saka,Arsenal,22,17
Emile Smith Rowe,Arsenal,14,9
Reece James,Chelsea,22,22
Thiago Silva,Chelsea,14,33
Marc Cucurella,Brighton,61,30
Stuart Dallas,Leeds United,61,55
Conor Gallagher,Crystal Palace,42,18
Wilfred Ndidi,Leicester City,37,26
