player_name,club_name,tackles_won,interceptions
"Luis Abram","Granada",3,5
"Marcos Acuña","Sevilla",31,16
"Martin Agirregabiria","Alavés",22,24
"Julen Agirrezabala","Athletic Club",0,0
"Sergio Agüero","Barcelona",1,0
"Álvaro Aguirre","Rayo Vallecano",0,0
"Joseph Aidoo","Celta Vigo",26,38
"Carlos Akapo","Cádiz",30,54
"Ilias Akhomach","Barcelona",1,0
"Paul Akouokou","Real Betis",7,12
"David Alaba","Real Madrid",13,24
"Tomás Alarcón","Cádiz",18,31
"Jordi Alba","Barcelona",35,33
"Raúl Albiol","Villarreal",17,20
"Paco Alcácer","Villarreal",3,6
"Rubén Alcaraz","Cádiz",20,12
"Omar Alderete","Valencia",34,34
"Iván Alejo","Cádiz",15,7
"Carles Aleñá","Getafe",19,14
"Hugo Álvarez","Celta Vigo",0,0
"Yeray Álvarez","Athletic Club",15,44
"Dani Alves","Barcelona",19,11
"Emmanuel Amankwaa Akurugu","Getafe",0,1
"Amath","Mallorca",10,8
"Florin Andone","Cádiz",1,0
"Marcos André","Valencia",12,7
"José Ángel","Osasuna",12,9
"Josep Antoni Gayá","Mallorca",0,1
"Mauro Arambarri","Getafe",39,29
"Néstor Araujo","Celta Vigo",13,28
"Ronald Araújo","Barcelona",23,23
"Jesús Areso","Osasuna",3,0
"Matias Arezo","Granada",3,1
"Santiago Arias","Granada",6,6
"Santiago Arzamendia","Cádiz",7,4
"Sergio Asenjo","Villarreal",0,2
"Alejandro Asensio","Rayo Vallecano",0,0
"Marco Asensio","Real Madrid",8,13
"Iago Aspas","Celta Vigo",7,9
"Pierre-Emerick Aubameyang","Barcelona",2,2
"Ludwig Augustinsson","Sevilla",14,6
"Serge Aurier","Villarreal",8,11
"Ezequiel Ávila","Osasuna",6,17
"Iddrisu Baba","Mallorca",29,27
"Carlos Bacca","Granada",4,1
"Édgar Badía","Elche",0,0
"Miguel Baeza","Celta Vigo",0,0
"Alejandro Balde","Barcelona",1,1
"Gareth Bale","Real Madrid",1,2
"Mikel Balenziaga","Athletic Club",25,20
"Iván Balliu","Rayo Vallecano",23,40
"Barbero","Osasuna",0,0
"Barcia","Granada",0,1
"Enis Bardhi","Levante",11,10
"Keidi Bare","Espanyol",18,16
"Kike Barja","Osasuna",10,9
"Antonio Barragán","Elche",14,18
"Ander Barrenetxea","Real Sociedad",10,2
"Marc Bartra","Real Betis",16,32
"Álvaro Bastida","Cádiz",4,3
"Rodrigo Battaglia","Mallorca",18,10
"Jon Bautista","Real Sociedad",0,1
"Bebé","Rayo Vallecano",7,3
"Héctor Bellerín","Real Betis",33,23
"Fran Beltrán","Celta Vigo",42,33
"Darío Benedetto","Elche",1,1
"Iker Benito","Osasuna",1,0
"Pedro Benito","Cádiz",0,0
"Karim Benzema","Real Madrid",8,5
"Yuri Berchiche","Athletic Club",11,13
"Álex Berenguer","Athletic Club",25,14
"Pedro Bigas","Elche",11,17
"Antonio Blanco","Real Madrid",0,1
"Yassine Bounou","Sevilla",0,0
"Lucas Boyé","Elche",12,2
"Martin Braithwaite","Barcelona",1,1
"Darko Brašanac","Osasuna",23,24
"Claudio Bravo","Real Betis",0,0
"Yan Brice Eteki","Granada",3,4
"Ante Budimir","Osasuna",11,4
"Sergio Busquets","Barcelona",51,42
"Adrián Butzke","Granada",0,0
"Erick Cabaco","Getafe",1,4
"Leandro Cabrera","Espanyol",25,47
