player_name,club_name,tackles_won,interceptions
"Yunis Abdelhamid","Reims",28,67
"Salis Abdul Samed","Clermont Foot",26,40
"Laurent Abergel","Lorient",63,54
"Charles Abi","Saint-Étienne",0,0
"Matthis Abline","Rennes",0,0
"Mohamed Achi","Nantes",0,0
"Martin Adeline","Reims",11,8
"Yacine Adli","Bordeaux",28,33
"Lucien Agoume","Brest",33,49
"Nayef Aguerd","Rennes",18,27
"Ruben Aguilar","Monaco",53,44
"Anel Ahmedhodžić","Bordeaux",26,21
"Jean-Eudes Aholou","Strasbourg",8,20
"Ludovic Ajorque","Strasbourg",25,8
"Maghnes Akliouche","Monaco",0,0
"Sofiane Alakouch","Metz",4,1
"Josué Albert","Clermont Foot",0,1
"Doğan Alemdar","Rennes",0,0
"Mohamed Ali Cho","Angers",6,7
"Jim Allevinah","Clermont Foot",14,6
"Ibrahim Amadou","Metz",8,11
"Jordan Amavi","Nice",10,13
"Jordan Amavi","Marseille",5,1
"Benjamin André","Lille",73,46
"Houssem Aouar","Lyon",30,21
"Adil Aouchiche","Saint-Étienne",7,14
"Dennis Appiah","Nantes",34,27
"Lorenz Assignon","Rennes",8,8
"Youcef Atal","Nice",19,32
"Jean-Kévin Augustin","Nantes",0,0
"Karim Azamoum","Troyes",5,1
"Loïc Bade","Rennes",5,10
"Benoît Badiashile","Monaco",19,25
"Youssouph Badji","Brest",0,0
"Stéphane Bahoken","Angers",8,2
"Dénys Bain","Brest",3,2
"Stefan Bajic","Saint-Étienne",0,0
"Cédric Bakambu","Marseille",0,0
"Abdoulaye Bakayoko","Saint-Étienne",9,11
"Dilane Bakwa","Bordeaux",1,0
"Ibrahima Baldé","Lens",0,0
"Leonardo Balerdi","Marseille",7,21
"Abdoulaye Bamba","Angers",5,8
"Jonathan Bamba","Lille",12,18
"Simon Banza","Lens",1,2
"Danilo Barbosa","Nice",0,2
"Bradley Barcola","Lyon",4,2
"Melvin Bard","Nice",39,47
"Toma Bašić","Bordeaux",2,2
"Amine Bassi","Metz",3,0
"Paul Baysse","Bordeaux",1,0
"Youcef Belaïli","Brest",1,6
"Haris Belkebla","Brest",25,49
"Jean-Ricner Bellegarde","Strasbourg",34,26
"Jeanuël Belocian","Rennes",0,0
"Hatem Ben Arfa","Lille",2,0
"Salim Ben Seghir","Marseille",0,0
"Wissam Ben Yedder","Monaco",8,0
"Darío Benedetto","Marseille",0,0
"Walter Benítez","Nice",0,0
"Loris Benito","Bordeaux",0,1
"Nabil Bentaleb","Angers",25,28
"Patrick Berg","Lens",4,6
"Mitchell van Bergen","Reims",6,5
"Valon Berisha","Reims",7,2
"Paul Bernardoni","Angers",2,0
"Paul Bernardoni","Saint-Étienne",0,0
"Juan Bernat","Paris Saint-Germain",15,9
"Dimitry Bertaud","Montpellier",0,0
"Jason Berthomier","Clermont Foot",17,6
"Giulian Biancone","Troyes",43,52
"El Bilal Touré","Reims",5,5
"Jean-Claude Billong","Clermont Foot",10,9
"Nathan Bitumazala","Paris Saint-Germain",0,0
"Marco Bizot","Brest",2,0
"Ludovic Blas","Nantes",19,30
"Myron Boadu","Monaco",7,1
"Jérôme Boateng","Lyon",15,17
"Antonin Bobichon","Angers",0,0
"Quentin Boisgard","Lorient",12,5
"Charles Boli","Lens",1,0
"Sven Botman","Lille",12,27
"Denis Bouanga","Saint-Étienne",21,6
"Hicham Boudaoui","Nice",20,20
"Ryad Boudebouz","Saint-Étienne",16,8
"Sofiane Boufal","Angers",27,5
"Farid Boulaya","Metz",9,11
"Ismaël Boura","Lens",2,3
"Benjamin Bourigeaud","Rennes",26,31
"Redwan Bourles","Lorient",0,0
"Domagoj Bradarić","Lille",8,10
"Bilal Brahimi","Nice",1,2
"Bilal Brahimi","Angers",1,1
"Lilian Brassier","Brest",25,33
"Jimmy Briand","Bordeaux",0,1
"Dylan Bronn","Metz",29,42
"Osman Bukari","Nantes",10,8
"Maxime Busi","Reims",15,13
"Oriol Busquets","Clermont Foot",3,1
"Marcin Bułka","Nice",0,0
"Rémy Cabella","Montpellier",7,5
"Jimmy Cabot","Angers",49,33
"Anthony Caci","Strasbourg",32,35
"Mathieu Cafaro","Reims",2,3
"Yannick Cahuzac","Lens",2,8
"Marc-Aurèle Caillard","Metz",0,2
"Jens Cajuste","Reims",6,5
"Duje Ćaleta-Car","Marseille",10,22
"Lucas Calodat","Saint-Étienne",0,0
"Mahdi Camara","Saint-Étienne",58,52
"Mamadou Camara","Troyes",1,0
"Eduardo Camavinga","Rennes",1,1
"Fali Candé","Metz",18,6
"Pierrick Capelle","Angers",25,15
"Maxence Caqueret","Lyon",49,45
"Irvin Cardona","Brest",7,6
"Igor Carioca","Lorient",16,22
"Moreto Cassamã","Reims",7,9
"Jean-Charles Castelletto","Nantes",26,29
"Zeki Çelik","Lille",36,37
"Fabien Centonze","Metz",20,31
"El Chadaille Bitshiabu","Paris Saint-Germain",0,0
"Nassim Chadli","Troyes",2,0
"Mehdi Chahiri","Strasbourg",1,0
"Dylan Chambost","Troyes",9,9
"Brendan Chardonnet","Brest",25,60
"Xavier Chavalerin","Troyes",28,34
"Xavier Chavalerin","Reims",4,5
"Rayan Cherki","Lyon",2,1
"Pedro Chirivella","Nantes",32,36
"Joris Chotard","Montpellier",30,41
"Alexis Claude-Maurice","Nice",0,3
"Jonathan Clauss","Lens",36,71
"Marcus Coco","Nantes",13,9
"Abdu Conté","Troyes",11,4
"Sébastien Corchia","Nantes",16,11
"Maxwel Cornet","Lyon",1,1
"David Costa","Lens",12,12
"Benoît Costil","Bordeaux",0,0
"Kalifa Coulibaly","Nantes",1,1
"Nicolas Cozza","Montpellier",50,40
"Enzo Crivelli","Saint-Étienne",0,0
"Wylan Cyprien","Nantes",15,8
"Lucas Da Cunha","Clermont Foot",11,1
"Lucas Da Cunha","Nice",7,1
"Damien Da Silva","Lyon",7,20
"Colin Dagba","Paris Saint-Germain",2,2
"Flavius Daniliuc","Nice",31,16
"Kevin Danso","Lens",31,40
"Dante","Nice",28,47
"Jonathan David","Lille",11,6
"Konrad De La Fuente","Marseille",8,2
"Romain Del Castillo","Rennes",1,1
"Romain Del Castillo","Brest",13,7
"Thomas Delaine","Metz",35,27
"Sacha Delaye","Montpellier",6,1
"Andy Delort","Nice",8,7
"Andy Delort","Montpellier",0,0
"Moussa Dembélé","Lyon",9,7
"Jason Denayer","Lyon",4,15
"Arthur Desmas","Clermont Foot",0,0
"Ángel Di María","Paris Saint-Germain",18,6
"Yadaly Diaby","Clermont Foot",0,1
"Ibrahim Diakité","Reims",0,0
"Abdou Diallo","Paris Saint-Germain",14,11
"Habib Diallo","Strasbourg",5,4
"Habib Diarra","Strasbourg",1,0
"Stéphane Diarra","Lorient",9,7
"Krépin Diatta","Monaco",2,1
"Bamba Dieng","Marseille",10,4
"Elhadji Dieye","Saint-Étienne",2,1
"Javairô Dilrosun","Bordeaux",4,10
"Junior Dina Ebimbe","Paris Saint-Germain",5,2
"Tristan Dingomé","Troyes",11,8
"Sinaly Diomande","Lyon",4,12
"Sofiane Diop","Monaco",21,25
"Andy Diouf","Rennes",1,0
"Assane Dioussé","Saint-Étienne",1,1
"Axel Disasi","Monaco",23,24
"Tiago Djaló","Lille",38,22
"Alexander Djiku","Strasbourg",35,59
"Bryan Djile Nokoué","Saint-Étienne",3,1
"Ouparine Djoco","Clermont Foot",0,1
"Jeremy Doku","Rennes",4,3
"Kasper Dolberg","Nice",4,7
"Brandon Domingues","Troyes",2,3
"Anastasios Donis","Reims",6,0
"Gianluigi Donnarumma","Paris Saint-Germain",0,0
"Jodel Dossou","Clermont Foot",17,7
"Lohann Doucet","Nantes",0,1
"Cheick Doucouré","Lens",41,63
"Fodé Doucouré","Reims",10,4
"Ismaël Doukouré","Strasbourg",0,0
"Kamory Doumbia","Reims",2,4
"Moussa Doumbia","Reims",0,0
"Souleyman Doumbia","Angers",20,38
"Julian Draxler","Paris Saint-Germain",2,6
"Matthieu Dreyer","Lorient",1,0
"Leo Dubois","Lyon",30,20
"Jean-Kevin Duverne","Brest",40,53
"Enzo Ebosse","Angers",16,15
"Hugo Ekitike","Reims",10,6
"Alberth Elis","Bordeaux",8,7
"Renaud Emond","Nantes",0,0
"Maxime Estève","Montpellier",18,22
"Fábio","Nantes",39,35
"Cesc Fàbregas","Monaco",0,1
"Wout Faes","Reims",25,52
"Romain Faivre","Brest",16,11
"Romain Faivre","Lyon",5,3
"Wuilker Faríñez","Lens",0,0
"Noah Fatar","Angers",0,1
"Julien Faussurier","Brest",6,4
"Jordan Ferri","Montpellier",37,31
"Karol Fila","Strasbourg",8,3
"Alexis Flips","Reims",23,22
"Mamadou Fofana","Metz",1,1
"Seko Fofana","Lens",18,26
"Youssouf Fofana","Monaco",43,28
"Thomas Foket","Reims",18,30
"Thomas Fontaine","Lorient",0,2
"José Fonte","Lille",15,43
"Steven Fortes","Lens",1,0
"Przemysław Frankowski","Lens",39,27
"Fransérgio","Bordeaux",10,22
"Angelo Fulgini","Angers",26,17
"Gauthier Gallon","Troyes",0,2
"Kévin Gameiro","Strasbourg",13,5
"Idrissa Gana Gueye","Paris Saint-Germain",37,24
"Ignatius Ganago","Lens",3,2
"Djeidi Gassama","Paris Saint-Germain",0,0
"Johan Gastien","Clermont Foot",34,53
"Valère Germain","Montpellier",14,8
"Gerson","Marseille",18,14
"Willem Geubbels","Nantes",5,6
"Ismaël Gharbi","Paris Saint-Germain",0,0
"Lamine Ghezali","Saint-Étienne",0,0
"Nicholas Gioacchini","Montpellier",5,4
"Jimmy Giraudon","Troyes",7,36
"Andrei Girotto","Nantes",50,65
"Aleksandr Golovin","Monaco",23,12
"Angel Gomes","Lille",13,3
"Alfred Gomis","Rennes",1,1
"Vagner Gonçalves","Metz",1,1
"Álvaro González","Marseille",3,1
"Amine Gouiri","Nice",15,11
"Lucas Gourna-Douath","Saint-Étienne",27,11
"Jonathan Gradit","Lens",32,67
"Andrew Gravillon","Reims",24,31
"Adrian Grbić","Lorient",1,0
"Ivo Grbić","Lille",0,0
"Etienne Green","Saint-Étienne",1,1
"Gabriel Gudmundsson","Lille",31,18
"Mattéo Guendouzi","Marseille",30,13
"Yanis Guermouche","Montpellier",1,0
"Evann Guessand","Nice",9,0
"Lamine Gueye","Metz",4,3
"Pape Gueye","Marseille",20,24
"Josuha Guilavogui","Bordeaux",17,35
"Frederic Guilbert","Strasbourg",38,54
"Bruno Guimarães","Lyon",32,22
"Serhou Guirassy","Rennes",3,1
"Malo Gusto","Lyon",36,28
"Massadio Haïdara","Lens",20,24
"Oualid El Hajjam","Troyes",13,22
"Achraf Hakimi","Paris Saint-Germain",49,27
"Pierre-Yves Hamel","Lorient",0,1
"Pierre-Yves Hamel","Clermont Foot",7,0
"Romain Hamouma","Saint-Étienne",7,3
"Amine Harit","Marseille",9,3
"Henrique","Lyon",8,21
"Luis Henrique","Marseille",3,4
"Christophe Hérelle","Brest",28,44
"Jérôme Hergault","Lorient",3,4
"Ander Herrera","Paris Saint-Germain",16,17
"Franck Honorat","Brest",38,16
"Fraser Hornby","Reims",1,4
"Cédric Hountondji","Clermont Foot",18,36
"Suk Hyun-jun","Troyes",0,0
"Mauro Icardi","Paris Saint-Germain",3,5
"Jonathan Iglesias","Clermont Foot",11,5
"Juan Ignacio Ramírez","Saint-Étienne",0,0
"Danylo Ihnatenko","Bordeaux",10,5
"Jonathan Ikone","Lille",3,3
"Bonke Innocent","Lorient",18,16
"Wilson Isidor","Monaco",0,0
"Ismail Jakobs","Monaco",17,14
"Marin Jakoliš","Angers",1,1
"Abdel Jalil Medioub","Bordeaux",5,15
"Léo Jardim","Lille",0,1
"Corentin Jean","Lens",6,1
"Jemerson","Metz",24,23
"Moritz Jenz","Lorient",12,28
"Lenny Joseph","Metz",2,0
"Issa Kaboré","Troyes",24,21
"Tino Kadewere","Lyon",5,4
"Gaël Kakuta","Lens",13,3
"Arnaud Kalimuendo","Lens",7,8
"Arnaud Kalimuendo","Paris Saint-Germain",0,0
"Samuel Kalu","Bordeaux",5,3
"Boubacar Kamara","Marseille",39,43
"Hassane Kamara","Nice",10,9
"Jean-Armel Kana-Biyik","Metz",6,15
"Nordine Kandil","Strasbourg",1,1
"Eiji Kawashima","Strasbourg",0,0
"Ilan Kebbal","Reims",14,13
"Thilo Kehrer","Paris Saint-Germain",15,22
"Habib Keita","Lyon",0,0
"Saîf-Eddine Khaoui","Clermont Foot",11,13
"Wahbi Khazri","Saint-Étienne",18,10
"Presnel Kimpembe","Paris Saint-Germain",20,39
"Thibault Klidje","Bordeaux",0,2
"Justin Kluivert","Nice",8,13
"Samuel Koeberlé","Reims",0,0
"Philippe Koffi","Reims",0,3
"Sead Kolašinac","Marseille",5,0
"Randal Kolo Muani","Nantes",16,6
"Timothée Kolodziejczak","Saint-Étienne",26,55
"Ghislain Konan","Reims",21,25
"Ibrahima Koné","Lorient",4,1
"Youssouf Koné","Troyes",18,9
"Laurent Koscielny","Bordeaux",8,11
"Rominigue Kouamé","Troyes",25,45
"Boubakar Kouyaté","Metz",48,80
"Jean-Philippe Krasso","Saint-Étienne",5,0
"Mykola Kukharevych","Troyes",0,0
"Enock Kwateng","Bordeaux",36,43
"Grejohn Kyei","Clermont Foot",2,0
"Gaëtan Laborde","Rennes",7,7
"Gaëtan Laborde","Montpellier",2,4
"Tom Lacoux","Bordeaux",14,10
"Lenny Lacroix","Metz",8,10
"Alban Lafont","Nantes",3,1
"Mohamed Lamine Bayo","Clermont Foot",5,6
"Didier Lamkel Zé","Metz",2,1
"Julien Laporte","Lorient",44,51
"Yasser Larouci","Troyes",5,7
"Paul Lasne","Brest",14,22
"Armand Lauriente","Lorient",18,12
"Théo Le Bris","Lorient",1,0
"Jérémy Le Douaron","Brest",7,4
"Enzo Le Fée","Lorient",45,29
"Vincent Le Goff","Lorient",41,36
"Maxime Le Marchand","Strasbourg",10,12
"Jean-Louis Leca","Lens",0,1
"Félix Lemaréchal","Monaco",0,0
"Mario Lemina","Nice",34,43
"Fabien Lemoine","Lorient",22,14
"Léo Leroy","Montpellier",24,7
"Alexandre Letellier","Paris Saint-Germain",0,0
"Yanis Lhery","Saint-Étienne",0,0
"Dimitri Liénard","Strasbourg",45,23
"Isaac Lihadji","Lille",3,2
"Pol Lirola","Marseille",16,12
"Bradley Locko","Reims",18,14
"Anthony Lopes","Lyon",0,4
"Pau López","Marseille",0,1
"Dion Lopy","Reims",29,24
"Samuel Loric","Lorient",5,4
"Jordan Lotomba","Nice",18,11
"Johaneko Louisjean","Bordeaux",0,0
"Jean Lucas","Monaco",25,14
"Castello Lukeba","Lyon",18,38
"Levi Lumeka","Troyes",0,0
"Deiver Machado","Lens",14,4
"Yvann Macon","Saint-Étienne",26,16
"Louis Mafouta","Metz",0,0
"Hugo Magnetti","Brest",33,24
"Yohann Magnin","Clermont Foot",33,20
"Habib Maïga","Metz",29,13
"Josh Maja","Bordeaux",0,0
"Abdul Majeed Waris","Strasbourg",2,0
"Lovro Majer","Rennes",22,11
"Béni Makouana","Montpellier",2,3
"Vincent Manceau","Angers",18,33
"Steve Mandanda","Marseille",0,1
"Reinildo Mandava","Lille",24,36
"Anthony Mandrea","Angers",0,0
"Eliaquim Mangala","Saint-Étienne",9,15
