player_name,club_name,tackles_won,interceptions
"Tammy Abraham","Roma",13,5
"Francesco Acerbi","Lazio",12,37
"Michel Aebischer","Bologna",5,7
"Felix Afena-Gyan","Roma",3,3
"Kevin Agudelo","Spezia",27,7
"Ola Aina","Torino",20,29
"Marley Aké","Juventus",0,1
"Jean-Daniel Akpa-Akpro","Lazio",10,2
"Luis Alberto","Lazio",17,13
"Giorgio Altare","Cagliari",27,30
"Wisdom Amey","Bologna",1,3
"Kelvin Amian","Spezia",43,32
"Nadiem Amiri","Genoa",4,0
"Ethan Ampadu","Venezia",44,53
"Sofyan Amrabat","Fiorentina",14,6
"Felipe Anderson","Lazio",44,20
"Ebenezer Annan","Bologna",1,1
"Cristian Ansaldi","Torino",8,6
"Janis Antiste","Spezia",11,3
"Mattia Aramu","Venezia",14,7
"Marko Arnautović","Bologna",10,7
"Tolgay Arslan","Udinese",21,11
"Kristoffer Askildsen","Sampdoria",8,15
"Kristjan Asllani","Empoli",12,19
"Emil Audero","Sampdoria",1,2
"Tommaso Augello","Sampdoria",21,31
"Ramzi Aya","Salernitana",1,0
"Kaan Ayhan","Sassuolo",13,16
"Milan Badelj","Genoa",40,88
"Nicola Bagnolini","Bologna",0,0
"Issa Bah","Venezia",0,0
"Nedim Bajrami","Empoli",15,4
"Tiemoué Bakayoko","Milan",13,8
"Tommaso Baldanzi","Empoli",0,0
"Keita Baldé","Cagliari",3,5
"Fodé Ballo-Touré","Milan",14,4
"Filippo Bandinelli","Empoli",24,12
"Mattia Bani","Genoa",13,21
"Antonín Barák","Hellas Verona",9,6
"Francesco Bardi","Bologna",0,0
"Nicolò Barella","Inter",42,19
"Musa Barrow","Bologna",5,6
"Daniele Baselli","Torino",3,1
"Daniele Baselli","Cagliari",5,2
"Toma Bašić","Lazio",7,4
"Alessandro Bastoni","Inter",26,32
"Simone Bastoni","Spezia",34,31
"Rodrigo Becão","Udinese",46,43
"Valon Behrami","Genoa",1,1
"Vid Belec","Salernitana",0,0
"Raoul Bellanova","Cagliari",15,23
"Andrea Belotti","Torino",3,2
"Marco Benassi","Fiorentina",0,3
"Marco Benassi","Empoli",3,3
"Filip Benković","Udinese",0,0
"Ismaël Bennacer","Milan",30,25
"Rodrigo Bentancur","Juventus",19,25
"Alessandro Berardi","Hellas Verona",0,0
"Domenico Berardi","Sassuolo",19,30
"Bartosz Bereszyński","Sampdoria",38,37
"Etrit Berisha","Torino",0,0
"Federico Bernardeschi","Juventus",9,5
"Nicolò Bertola","Spezia",2,3
"Daniel Bessa","Hellas Verona",2,4
"Beto","Udinese",7,5
"Luis Binks","Bologna",4,18
"Cristiano Biraghi","Fiorentina",25,21
"Davide Biraschi","Genoa",15,18
"Bjarki Bjarkason","Venezia",0,0
"Jeremie Boga","Sassuolo",3,1
"Jeremie Boga","Atalanta",3,1
"Luka Bogdan","Salernitana",2,7
"Emil Bohinen","Salernitana",10,10
"Giacomo Bonaventura","Fiorentina",18,15
"Federico Bonazzoli","Salernitana",13,6
"Kevin Bonifazi","Bologna",15,15
"Leonardo Bonucci","Juventus",5,26
"Mehdi Bourabia","Spezia",1,2
"Edoardo Bove","Roma",1,1
"Josip Brekalo","Torino",4,5
"Gleison Bremer","Torino",25,106
"Marcelo Brozović","Inter",43,37
"Aleksander Buksa","Genoa",0,0
"Alessandro Buongiorno","Torino",9,30
"Gianluca Busio","Venezia",29,23
"Arthur Cabral","Fiorentina",5,1
"Jovane Cabral","Lazio",1,1
"Liberato Cacace","Empoli",6,8
"Martín Cáceres","Cagliari",8,16
"Felipe Caicedo","Genoa",3,0
"Felipe Caicedo","Inter",0,0
"Davide Calabria","Milan",36,23
"Riccardo Calafiori","Roma",3,3
"Riccardo Calafiori","Genoa",0,2
"Mattia Caldara","Venezia",27,63
"Hakan Çalhanoğlu","Inter",24,25
"José Callejón","Fiorentina",7,3
"Andrea Cambiaso","Genoa",19,20
"Matteo Cancellieri","Hellas Verona",4,1
"Antonio Candreva","Sampdoria",17,31
"Leonardo Capezzi","Salernitana",2,0
"Gianluca Caprari","Hellas Verona",26,4
"Francesco Caputo","Sassuolo",0,0
"Francesco Caputo","Sampdoria",2,2
"Andrea Carboni","Cagliari",24,32
"Nicolò Casale","Hellas Verona",31,51
"Francesco Cassata","Genoa",0,0
"Samu Castillejo","Milan",2,2
"Gaetano Castrovilli","Fiorentina",16,10
"Danilo Cataldi","Lazio",21,17
"Pietro Ceccaroni","Venezia",30,27
"Federico Ceccherini","Hellas Verona",19,51
"Emil Ceide","Sassuolo",1,0
"Luca Ceppitelli","Cagliari",12,24
"Damir Ceter","Cagliari",0,0
"Julian Chabot","Sampdoria",10,9
"Giorgio Chiellini","Juventus",13,19
"Federico Chiesa","Juventus",19,4
"Vlad Chiricheș","Sassuolo",15,43
"Riccardo Ciervo","Sampdoria",4,2
"Moustapha Cissé","Atalanta",0,0
"Giorgio Cittadini","Atalanta",0,1
"Ebrima Colley","Spezia",2,3
"Omar Colley","Sampdoria",36,79
